id;address;land_market_share;impr_market_share;total_market_share;land_appraisal_value;impr_appraisal_value;total_appraisal_value;land_approximate_size;impr_approximate_size;total_approximate_size;land_land_acres;impr_land_acres;total_land_acres;land_land_sqft;impr_land_sqft;total_land_sqft
06284205;1000 HUNTER RIDGE DR, ARLINGTON, 76013;20000;157142;177142;20000;146738;166738;NULL;NULL;1672;NULL;NULL;0.1989;NULL;NULL;8668
04751817;1000 LESLIE CT, ARLINGTON, 76012;35000;171393;206393;35000;171393;206393;NULL;NULL;1888;NULL;NULL;0.2148;NULL;NULL;9360
40565262;1000 LOBLOLLY PINE DR, ARLINGTON, 76012;30000;214184;244184;30000;214178;244178;NULL;NULL;2593;NULL;NULL;0.221;NULL;NULL;9627
41625765;1000 LONE IVORY TR, ARLINGTON, 76155;70000;334447;404447;70000;334447;404447;NULL;NULL;3207;NULL;NULL;0.1529;NULL;NULL;6664
01621076;1000 MAGNOLIA ST, ARLINGTON, 76012;15000;103876;118876;15000;95352;110352;NULL;NULL;1784;NULL;NULL;0.2474;NULL;NULL;10780
07013493;1000 MAZOURKA DR, ARLINGTON, 76001;0;0;0;0;0;0;NULL;NULL;2578;NULL;NULL;0.1929;NULL;NULL;8407
05692962;1000 NW GREEN OAKS BLVD, ARLINGTON, 76012;0;0;0;0;0;0;NULL;NULL;0;NULL;NULL;0.289;NULL;NULL;12589
07585152;1000 PEEBLES CT, ARLINGTON, 76013;0;0;0;0;0;0;NULL;NULL;0;NULL;NULL;0.2399;NULL;NULL;10454
07582250;1000 PEGASUS DR, ARLINGTON, 76013;30000;244331;274331;30000;244331;274331;NULL;NULL;2785;NULL;NULL;0.228;NULL;NULL;9932
02495554;1000 PLEASANT VALLEY LN, ARLINGTON, 76015;20000;66120;86120;20000;66120;86120;NULL;NULL;1185;NULL;NULL;0.0545;NULL;NULL;2375
06758665;1000 PRADO REAL DR, ARLINGTON, 76017;20000;201819;221819;20000;159383;179383;NULL;NULL;2753;NULL;NULL;0.2227;NULL;NULL;9705
42044195;1000 REGULUS CT, ARLINGTON, 76013;15000;105613;120613;15000;105613;120613;NULL;NULL;1079;NULL;NULL;0.192;NULL;NULL;8364
00959820;1000 RIDGEWOOD TERR, ARLINGTON, 76012;20000;114002;134002;20000;114002;134002;NULL;NULL;1419;NULL;NULL;0.2949;NULL;NULL;12848
40177033;1000 ROYAL CIR, ARLINGTON, 76017;0;10922;10922;0;10922;10922;NULL;NULL;896;NULL;NULL;0;NULL;NULL;0
04751671;1000 SHELLEY CT, ARLINGTON, 76012;35000;183408;218408;35000;174935;209935;NULL;NULL;2276;NULL;NULL;0.195;NULL;NULL;8496
41631099;1000 SOUTHMOOR DR, ARLINGTON, 76010;12000;180372;192372;12000;180372;192372;NULL;NULL;3135;NULL;NULL;0.1919;NULL;NULL;8360
05233631;1000 STACEY RENEE CT, ARLINGTON, 76002;2268;0;2268;2268;0;2268;NULL;NULL;0;NULL;NULL;0.252;NULL;NULL;10977
40638863;1000 TABASCO TR, ARLINGTON, 76002;30000;149951;179951;30000;149951;179951;NULL;NULL;1736;NULL;NULL;0.2469;NULL;NULL;10755
06810861;1000 TELLURIDE DR, ARLINGTON, 76063;25000;169287;194287;25000;169287;194287;NULL;NULL;2209;NULL;NULL;0.161;NULL;NULL;7013
04755049;1000 TULANE DR, ARLINGTON, 76012;35000;192780;227780;35000;168401;203401;NULL;NULL;1983;NULL;NULL;0.1795;NULL;NULL;7820
06699472;1000 VILLAGE GREEN CT, ARLINGTON, 76012;50000;226836;276836;50000;226836;276836;NULL;NULL;2840;NULL;NULL;0.2209;NULL;NULL;9626
01078976;1000 W CEDAR ST, ARLINGTON, 76012;15000;88246;103246;15000;79972;94972;NULL;NULL;1451;NULL;NULL;0.2066;NULL;NULL;9000
02319896;1000 W TUCKER BLVD, ARLINGTON, 76013;15000;93955;108955;15000;72846;87846;NULL;NULL;1356;NULL;NULL;0.2341;NULL;NULL;10200
03143775;1000 WAYLAND DR, ARLINGTON, 76012;35000;282517;317517;35000;257941;292941;NULL;NULL;2986;NULL;NULL;0.3122;NULL;NULL;13600
02971305;1000 WHIPPOORWILL CT, ARLINGTON, 76014;15000;95369;110369;15000;68732;83732;NULL;NULL;1320;NULL;NULL;0.188;NULL;NULL;8190
02498464;1000 WINNSBORO CT, ARLINGTON, 76015;15000;90670;105670;15000;85470;100470;NULL;NULL;1491;NULL;NULL;0.2244;NULL;NULL;9775
40980286;1001 ABIGAIL DR, ARLINGTON, 76002;30000;175073;205073;30000;175073;205073;NULL;NULL;2309;NULL;NULL;0.414;NULL;NULL;18035
07585055;1001 ANDROMEDA WAY, ARLINGTON, 76013;30000;163709;193709;30000;163709;193709;NULL;NULL;1585;NULL;NULL;0.171;NULL;NULL;7449
04750780;1001 ARLENA DR, ARLINGTON, 76012;0;0;0;0;0;0;NULL;NULL;1955;NULL;NULL;0.2203;NULL;NULL;9600
04757009;1001 AUBURN DR, ARLINGTON, 76012;35000;203172;238172;35000;198267;233267;NULL;NULL;2172;NULL;NULL;0.2217;NULL;NULL;9660
07014287;1001 BANNACK DR, ARLINGTON, 76001;22000;126831;148831;22000;122240;144240;NULL;NULL;1640;NULL;NULL;0.2079;NULL;NULL;9060
03245314;1001 BELVEDERE DR, ARLINGTON, 76010;10000;74859;84859;10000;57518;67518;NULL;NULL;1303;NULL;NULL;0.188;NULL;NULL;8190
06811043;1001 BONANZA DR, ARLINGTON, 76063;25000;160076;185076;25000;160076;185076;NULL;NULL;1957;NULL;NULL;0.165;NULL;NULL;7187
04751469;1001 BRIARCREEK DR, ARLINGTON, 76012;35000;184238;219238;35000;176871;211871;NULL;NULL;2400;NULL;NULL;0.2203;NULL;NULL;9600
01297465;1001 BROOK HILL CT, ARLINGTON, 76014;22500;115984;138484;22500;115984;138484;NULL;NULL;1570;NULL;NULL;0.1313;NULL;NULL;5720
04751248;1001 BYRON LN, ARLINGTON, 76012;35000;192568;227568;35000;164408;199408;NULL;NULL;2070;NULL;NULL;0.2203;NULL;NULL;9600
07581890;1001 CARINA CT, ARLINGTON, 76013;30000;213856;243856;30000;213856;243856;NULL;NULL;2279;NULL;NULL;0.21;NULL;NULL;9148
07842597;1001 CARTHAGE WAY, ARLINGTON, 76017;30000;131819;161819;30000;131819;161819;NULL;NULL;1860;NULL;NULL;0.1709;NULL;NULL;7448
02971186;1001 CHARLESTON CT, ARLINGTON, 76014;15000;95987;110987;15000;68369;83369;NULL;NULL;1312;NULL;NULL;0.2284;NULL;NULL;9951
01431587;1001 CROWLEY RD, ARLINGTON, 76012;40000;265719;305719;40000;265719;305719;NULL;NULL;3625;NULL;NULL;0.2826;NULL;NULL;12312
02797747;1001 DARLENE LN, ARLINGTON, 76010;12000;84985;96985;12000;57454;69454;NULL;NULL;1110;NULL;NULL;0.2011;NULL;NULL;8760
00085472;1001 E INWOOD DR, ARLINGTON, 76010;10000;83743;93743;10000;83743;93743;NULL;NULL;1080;NULL;NULL;0.179;NULL;NULL;7800
07299982;1001 EASTWICK DR, ARLINGTON, 76002;25000;194200;219200;25000;165575;190575;NULL;NULL;2734;NULL;NULL;0.1679;NULL;NULL;7318
05518016;1001 FIERO DR, ARLINGTON, 76001;20000;122269;142269;20000;121508;141508;NULL;NULL;1552;NULL;NULL;0.1796;NULL;NULL;7827
05922739;1001 FLAMEWOOD DR, ARLINGTON, 76001;20000;108760;128760;20000;102053;122053;NULL;NULL;1231;NULL;NULL;0.1695;NULL;NULL;7385
00960969;1001 FORREST DR, ARLINGTON, 76012;20000;147962;167962;20000;118303;138303;NULL;NULL;1819;NULL;NULL;0.2205;NULL;NULL;9605
02970333;1001 GRANTS PKWY, ARLINGTON, 76014;15000;62171;77171;15000;62171;77171;NULL;NULL;1469;NULL;NULL;0.1976;NULL;NULL;8610
02972573;1001 HOLLY HILL CT, ARLINGTON, 76014;15000;110386;125386;15000;84946;99946;NULL;NULL;1569;NULL;NULL;0.2231;NULL;NULL;9720
01676008;1001 JUDY LYNN DR, ARLINGTON, 76014;15000;111243;126243;15000;111243;126243;NULL;NULL;1568;NULL;NULL;0.1147;NULL;NULL;5000
40565661;1001 LOBLOLLY PINE DR, ARLINGTON, 76012;30000;228264;258264;30000;221196;251196;NULL;NULL;2785;NULL;NULL;0.1589;NULL;NULL;6926
02044714;1001 LYNDA LN, ARLINGTON, 76013;15000;87314;102314;15000;87314;102314;NULL;NULL;1036;NULL;NULL;0.1703;NULL;NULL;7420
02382121;1001 MAPLEVIEW DR, ARLINGTON, 76018;20000;133281;153281;20000;133281;153281;NULL;NULL;1710;NULL;NULL;0.2095;NULL;NULL;9129
05509564;1001 MEADOW GLEN CT, ARLINGTON, 76018;20000;132016;152016;20000;132016;152016;NULL;NULL;2032;NULL;NULL;0.2751;NULL;NULL;11987
03077233;1001 MOORE TERR, ARLINGTON, 76010;10000;69358;79358;10000;38642;48642;NULL;NULL;948;NULL;NULL;0.1527;NULL;NULL;6655
05526337;1001 PACKARD DR, ARLINGTON, 76001;20000;132827;152827;20000;132827;152827;NULL;NULL;1557;NULL;NULL;0.1489;NULL;NULL;6490
04623835;1001 PORTOFINO DR, ARLINGTON, 76012;40000;212586;252586;40000;194193;234193;NULL;NULL;2594;NULL;NULL;0.2291;NULL;NULL;9983
02024071;1001 REDBUD CT, ARLINGTON, 76012;18000;43209;61209;18000;43209;61209;NULL;NULL;2402;NULL;NULL;0.1363;NULL;NULL;5940
04751612;1001 ROCKY CANYON RD, ARLINGTON, 76012;35000;185012;220012;35000;153609;188609;NULL;NULL;1990;NULL;NULL;0.2506;NULL;NULL;10920
40979415;1001 ROSITA ST, ARLINGTON, 76002;30000;174013;204013;30000;174013;204013;NULL;NULL;2287;NULL;NULL;0.2262;NULL;NULL;9856
00571202;1001 RUBY ST, ARLINGTON, 76010;18000;145478;163478;18000;107598;125598;NULL;NULL;1790;NULL;NULL;0.2112;NULL;NULL;9200
04751809;1001 SHELLEY CT, ARLINGTON, 76012;35000;185612;220612;35000;175177;210177;NULL;NULL;2280;NULL;NULL;0.2148;NULL;NULL;9360
00273678;1001 SHERWOOD DR, ARLINGTON, 76013;20000;168628;188628;20000;147948;167948;NULL;NULL;1925;NULL;NULL;0.3856;NULL;NULL;16800
01446282;1001 SOUTHMOOR DR, ARLINGTON, 76010;12000;100572;112572;12000;100572;112572;NULL;NULL;2148;NULL;NULL;0.1616;NULL;NULL;7040
03245578;1001 SUNNYVALE DR, ARLINGTON, 76010;10000;73595;83595;10000;56066;66066;NULL;NULL;1261;NULL;NULL;0.188;NULL;NULL;8190
06810381;1001 TELLURIDE DR, ARLINGTON, 76063;25000;219847;244847;25000;206727;231727;NULL;NULL;3082;NULL;NULL;0.171;NULL;NULL;7449
04755553;1001 TULANE DR, ARLINGTON, 76012;35000;175654;210654;35000;175654;210654;NULL;NULL;1900;NULL;NULL;0.1821;NULL;NULL;7935
06699480;1001 VILLAGE GREEN CT, ARLINGTON, 76012;50000;243990;293990;50000;243990;293990;NULL;NULL;3007;NULL;NULL;0.2869;NULL;NULL;12501
40681017;1001 W HARRIS RD, ARLINGTON, 76001;20000;214487;234487;20000;145303;165303;NULL;NULL;3235;NULL;NULL;1;NULL;NULL;43560
02319438;1001 W TUCKER BLVD, ARLINGTON, 76013;15000;108427;123427;15000;94505;109505;NULL;NULL;1480;NULL;NULL;0.2324;NULL;NULL;10125
02498669;1001 WESTMINISTER CT, ARLINGTON, 76015;15000;79656;94656;15000;79656;94656;NULL;NULL;1384;NULL;NULL;0.2244;NULL;NULL;9775
07843933;1001 WHITE DOVE DR, ARLINGTON, 76017;30000;140182;170182;30000;140097;170097;NULL;NULL;2182;NULL;NULL;0.1679;NULL;NULL;7318
41625447;1001 WINTER FIRE WAY, ARLINGTON, 76155;70000;268817;338817;70000;268817;338817;NULL;NULL;2442;NULL;NULL;0.1029;NULL;NULL;4486
40980251;1002 ABIGAIL DR, ARLINGTON, 76002;30000;157188;187188;30000;156340;186340;NULL;NULL;1793;NULL;NULL;0.3269;NULL;NULL;14244
05188733;1002 ASHMOUNT LN, ARLINGTON, 76017;20000;115578;135578;20000;102053;122053;NULL;NULL;1436;NULL;NULL;0.1145;NULL;NULL;4991
02498286;1002 AVINGTON CT, ARLINGTON, 76015;15000;51847;66847;15000;51078;66078;NULL;NULL;1816;NULL;NULL;0.1716;NULL;NULL;7475
03245470;1002 BELVEDERE DR, ARLINGTON, 76010;10000;68722;78722;10000;53525;63525;NULL;NULL;1289;NULL;NULL;0.2024;NULL;NULL;8820
06800572;1002 BRENNER CT, ARLINGTON, 76017;14000;105768;119768;14000;105768;119768;NULL;NULL;1418;NULL;NULL;0.1051;NULL;NULL;4580
06950752;1002 BROOK CANYON DR, ARLINGTON, 76018;25000;154734;179734;25000;128307;153307;NULL;NULL;1850;NULL;NULL;0.1659;NULL;NULL;7230
02045451;1002 CANDICE LN, ARLINGTON, 76013;15000;88001;103001;15000;73693;88693;NULL;NULL;1026;NULL;NULL;0.1735;NULL;NULL;7560
02971070;1002 CARLA CT, ARLINGTON, 76014;15000;100856;115856;15000;100856;115856;NULL;NULL;1466;NULL;NULL;0.1689;NULL;NULL;7360
07842880;1002 CARTHAGE WAY, ARLINGTON, 76017;30000;187615;217615;30000;186486;216486;NULL;NULL;3296;NULL;NULL;0.1689;NULL;NULL;7361
02971208;1002 CHARLESTON CT, ARLINGTON, 76014;15000;104891;119891;15000;79743;94743;NULL;NULL;1584;NULL;NULL;0.1779;NULL;NULL;7750
02498642;1002 CRISTOPHER CT, ARLINGTON, 76015;15000;79096;94096;15000;69942;84942;NULL;NULL;1153;NULL;NULL;0.1716;NULL;NULL;7475
41626540;1002 CRYSTAL OAK LN, ARLINGTON, 76155;70000;334220;404220;70000;334220;404220;NULL;NULL;3290;NULL;NULL;0.1869;NULL;NULL;8145
02974541;1002 DAWNVIEW ST, ARLINGTON, 76014;0;0;0;0;0;0;NULL;NULL;1370;NULL;NULL;0.1795;NULL;NULL;7820
07843631;1002 DUNKIRK LN, ARLINGTON, 76017;30000;167831;197831;30000;167138;197138;NULL;NULL;2888;NULL;NULL;0.1699;NULL;NULL;7405
02498103;1002 FAIRFAX CT, ARLINGTON, 76015;15000;79680;94680;15000;79680;94680;NULL;NULL;1536;NULL;NULL;0.1716;NULL;NULL;7475
03091414;1002 GLENWICK LN, ARLINGTON, 76012;20000;172276;192276;20000;137324;157324;NULL;NULL;1654;NULL;NULL;0.1632;NULL;NULL;7112
02970929;1002 GRANTS PKWY, ARLINGTON, 76014;15000;122231;137231;15000;85188;100188;NULL;NULL;1772;NULL;NULL;0.179;NULL;NULL;7800
02972603;1002 HOLLY HILL CT, ARLINGTON, 76014;15000;138134;153134;15000;138134;153134;NULL;NULL;1906;NULL;NULL;0.2107;NULL;NULL;9180
04751825;1002 LESLIE CT, ARLINGTON, 76012;35000;179839;214839;35000;168643;203643;NULL;NULL;2181;NULL;NULL;0.2148;NULL;NULL;9360
01433261;1002 LOCH LOMOND DR, ARLINGTON, 76012;0;0;0;0;0;0;NULL;NULL;3459;NULL;NULL;0.1828;NULL;NULL;7965
07583478;1002 LYRA CT, ARLINGTON, 76013;30000;219521;249521;30000;219521;249521;NULL;NULL;2436;NULL;NULL;0.203;NULL;NULL;8843
03091309;1002 OAKWOOD LN, ARLINGTON, 76012;20000;108374;128374;20000;75832;95832;NULL;NULL;1156;NULL;NULL;0.3184;NULL;NULL;13870
07585195;1002 PEEBLES CT, ARLINGTON, 76013;7200;0;7200;7200;0;7200;NULL;NULL;0;NULL;NULL;0.2109;NULL;NULL;9191
05518075;1002 PIERCE ARROW DR, ARLINGTON, 76001;20000;116007;136007;20000;116007;136007;NULL;NULL;1432;NULL;NULL;0.1777;NULL;NULL;7742
06758673;1002 PRADO REAL DR, ARLINGTON, 76017;20000;165326;185326;20000;129919;149919;NULL;NULL;1890;NULL;NULL;0.1398;NULL;NULL;6090
07585772;1002 REGULUS CT, ARLINGTON, 76013;30000;204752;234752;30000;204752;234752;NULL;NULL;2006;NULL;NULL;0.203;NULL;NULL;8843
00571059;1002 RUBY ST, ARLINGTON, 76010;18000;114526;132526;18000;114526;132526;NULL;NULL;1549;NULL;NULL;0.2101;NULL;NULL;9152
02974940;1002 SHENANDOAH DR, ARLINGTON, 76014;15000;95322;110322;15000;67885;82885;NULL;NULL;1254;NULL;NULL;0.1969;NULL;NULL;8580
05233186;1002 STEPHIE ANN CT, ARLINGTON, 76002;27000;81306;108306;27000;57120;84120;NULL;NULL;1286;NULL;NULL;1;NULL;NULL;43560
03090647;1002 TANGLEWOOD LN, ARLINGTON, 76012;20000;226855;246855;20000;226855;246855;NULL;NULL;2184;NULL;NULL;0.3443;NULL;NULL;15000
04755030;1002 TULANE DR, ARLINGTON, 76012;35000;198109;233109;35000;180138;215138;NULL;NULL;2121;NULL;NULL;0.1821;NULL;NULL;7935
06699464;1002 VILLAGE GREEN CT, ARLINGTON, 76012;50000;219473;269473;50000;219473;269473;NULL;NULL;2674;NULL;NULL;0.2879;NULL;NULL;12545
02319888;1002 W TUCKER BLVD, ARLINGTON, 76013;15000;105602;120602;15000;66070;81070;NULL;NULL;1176;NULL;NULL;0.2341;NULL;NULL;10200
03143767;1002 WAYLAND DR, ARLINGTON, 76012;35000;196034;231034;35000;156785;191785;NULL;NULL;2006;NULL;NULL;0.2848;NULL;NULL;12410
03115321;1002 WHISPERING OAK CT, ARLINGTON, 76012;30000;226376;256376;30000;187558;217558;NULL;NULL;2542;NULL;NULL;0.3374;NULL;NULL;14700
03594335;1002 WOODBROOK ST, ARLINGTON, 76011;15000;109042;124042;15000;109042;124042;NULL;NULL;1474;NULL;NULL;0.1556;NULL;NULL;6780
06293662;1003 ACAPULCO LN, ARLINGTON, 76017;20000;163722;183722;20000;139236;159236;NULL;NULL;1999;NULL;NULL;0.1492;NULL;NULL;6500
06809146;1003 ANGEL FIRE LN, ARLINGTON, 76001;30000;170944;200944;30000;162390;192390;NULL;NULL;2233;NULL;NULL;0.169;NULL;NULL;7362
05071844;1003 BALDWIN DR, ARLINGTON, 76012;35000;157554;192554;35000;146621;181621;NULL;NULL;1634;NULL;NULL;0.1747;NULL;NULL;7612
07299591;1003 BELLCREST DR, ARLINGTON, 76002;25000;204327;229327;25000;170173;195173;NULL;NULL;2922;NULL;NULL;0.1719;NULL;NULL;7492
42180048;1003 BIRDS FORT TR, ARLINGTON,;77700;0;77700;77700;0;77700;NULL;NULL;0;NULL;NULL;0;NULL;NULL;3354
04756819;1003 BRIARCLIFF DR, ARLINGTON, 76012;35000;194225;229225;35000;174209;209209;NULL;NULL;2022;NULL;NULL;0.2138;NULL;NULL;9315
02045648;1003 CANDICE LN, ARLINGTON, 76013;15000;83938;98938;15000;68611;83611;NULL;NULL;942;NULL;NULL;0.1549;NULL;NULL;6750
07581874;1003 CARINA CT, ARLINGTON, 76013;0;0;0;0;0;0;NULL;NULL;2404;NULL;NULL;0.173;NULL;NULL;7536
07842589;1003 CARTHAGE WAY, ARLINGTON, 76017;30000;138728;168728;30000;138675;168675;NULL;NULL;2125;NULL;NULL;0.1709;NULL;NULL;7448
02971178;1003 CHARLESTON CT, ARLINGTON, 76014;15000;95435;110435;15000;95435;110435;NULL;NULL;1332;NULL;NULL;0.213;NULL;NULL;9282
02498480;1003 CRISTOPHER CT, ARLINGTON, 76015;15000;76715;91715;15000;67280;82280;NULL;NULL;1108;NULL;NULL;0.1716;NULL;NULL;7475
05189020;1003 DANFORTH CT, ARLINGTON, 76017;20000;115042;135042;20000;101121;121121;NULL;NULL;1444;NULL;NULL;0.1139;NULL;NULL;4964
04756185;1003 DE PAUW DR, ARLINGTON, 76012;35000;189490;224490;35000;180622;215622;NULL;NULL;1865;NULL;NULL;0.1636;NULL;NULL;7130
00085480;1003 E INWOOD DR, ARLINGTON, 76010;10000;78509;88509;10000;68166;78166;NULL;NULL;1632;NULL;NULL;0.179;NULL;NULL;7800
07299990;1003 EASTWICK DR, ARLINGTON, 76002;25000;160921;185921;25000;160921;185921;NULL;NULL;1896;NULL;NULL;0.1579;NULL;NULL;6882
04751655;1003 FIELD CREST CT, ARLINGTON, 76012;35000;183371;218371;35000;183371;218371;NULL;NULL;2317;NULL;NULL;0.2148;NULL;NULL;9360
01433873;1003 FINDLAY DR, ARLINGTON, 76012;54000;256420;310420;54000;256420;310420;NULL;NULL;3146;NULL;NULL;0.4186;NULL;NULL;18236
41500008;1003 GLENWICK LN, ARLINGTON, 76012;30000;212521;242521;30000;212521;242521;NULL;NULL;2315;NULL;NULL;0.4261;NULL;NULL;18563
00062626;1003 HIGHLAND DR, ARLINGTON, 76010;10000;50172;60172;10000;45187;55187;NULL;NULL;1073;NULL;NULL;0.1859;NULL;NULL;8100
40966984;1003 HOUSTON ST, ARLINGTON, 76012;12000;135405;147405;12000;118484;130484;NULL;NULL;1378;NULL;NULL;0.1721;NULL;NULL;7500
01676016;1003 JUDY LYNN DR, ARLINGTON, 76014;15000;103172;118172;15000;103172;118172;NULL;NULL;1390;NULL;NULL;0.1465;NULL;NULL;6384
41626516;1003 LONE IVORY TR, ARLINGTON, 76155;70000;277920;347920;70000;277912;347912;NULL;NULL;2636;NULL;NULL;0.1129;NULL;NULL;4922
02382148;1003 MAPLEVIEW DR, ARLINGTON, 76018;20000;142736;162736;20000;107897;127897;NULL;NULL;1790;NULL;NULL;0.1923;NULL;NULL;8377
06284272;1003 MILBY OAKS CIR, ARLINGTON, 76013;20000;162607;182607;20000;147343;167343;NULL;NULL;1709;NULL;NULL;0.2199;NULL;NULL;9583
01871382;1003 PAULA DR, ARLINGTON, 76012;15000;80622;95622;15000;80622;95622;NULL;NULL;1096;NULL;NULL;0.1707;NULL;NULL;7440
02496259;1003 PLEASANT VALLEY LN, ARLINGTON, 76015;20000;48604;68604;20000;48604;68604;NULL;NULL;980;NULL;NULL;0.1014;NULL;NULL;4418
04755855;1003 PURDUE DR, ARLINGTON, 76012;35000;190219;225219;35000;165497;200497;NULL;NULL;1948;NULL;NULL;0.1827;NULL;NULL;7962
07585810;1003 REGULUS CT, ARLINGTON, 76013;30000;212997;242997;30000;212997;242997;NULL;NULL;2249;NULL;NULL;0.203;NULL;NULL;8843
01675885;1003 SHANA CT, ARLINGTON, 76014;15000;104270;119270;15000;104270;119270;NULL;NULL;1407;NULL;NULL;0.1239;NULL;NULL;5400
